url,headline
https://news.err.ee/1610117269/book-of-condolences-opened-for-former-prime-minister-siim-kallas-at-stenbock-house,Book of condolences opened for former prime minister Siim Kallas at Stenbock House
https://news.err.ee/1610118100/estonian-shooter-wins-world-clay-pigeon-gold-in-sporting-first,Estonian shooter wins world clay pigeon gold in sporting first
https://news.err.ee/1610118007/gallery-kino-soprus-brings-cinema-screenings-to-lasnamae,Gallery: Kino Sõprus brings cinema screenings to Lasnamäe
https://news.err.ee/1610118124/nearly-1-900-basic-school-graduates-still-lack-a-school-place-as-year-begins,"Nearly 1,900 basic school graduates still lack a school place as year begins"
https://news.err.ee/1610117950/financial-intelligence-unit-awaits-restoration-of-powers-by-riigikogu,Financial Intelligence Unit awaits restoration of powers by Riigikogu
https://news.err.ee/1610118010/kaamos-art-grant-to-focus-on-artists-over-60,Kaamos art grant to focus on artists over 60
https://news.err.ee/1610117914/government-to-begin-next-year-s-budget-talks-on-tuesday,Government to begin next year's budget talks on Tuesday
https://news.err.ee/1610118034/iss-calls-for-dedicated-law-to-standardize-background-checks,ISS calls for dedicated law to standardize background checks
https://news.err.ee/1610117812/riga-and-vilnius-outpace-tallinn-in-flights-due-to-market-size,Riga and Vilnius outpace Tallinn in flights due to market size
https://news.err.ee/1610117986/uk-legends-morcheeba-returning-to-tallinn-in-2027,UK legends Morcheeba returning to Tallinn in 2027
https://news.err.ee/1610117776/pre-shoots-for-the-movie-umera-joel-took-place-in-ida-virumaa,Pre‑shoots for the movie 'Ümera jõel' took place in Ida‑Virumaa
https://news.err.ee/1610117761/study-laughing-at-a-foreign-sounding-estonian-is-a-defense-mechanism,Study: Laughing at a foreign‑sounding Estonian is a defense mechanism
https://news.err.ee/1610117593/study-finds-estonia-must-rent-at-least-300-prison-places-to-make-deal-viable,Study finds Estonia must rent at least 300 prison places to make deal viable
https://news.err.ee/1610117275/estonian-competitor-wins-ironman-tallinn-half-triathlon-for-2nd-straight-year,Estonian competitor wins Ironman Tallinn half-triathlon for 2nd straight year
https://news.err.ee/1610117521/75-mps-nominate-justice-chancellor-as-presidential-candidate,75 MPs nominate justice chancellor as presidential candidate
https://news.err.ee/1610117755/87-years-since-molotov-ribbentrop-pact-marked-with-memorial-events-across-estonia,87 years since Molotov-Ribbentrop Pact marked with memorial events across Estonia
https://news.err.ee/1610117812/riga-and-vilnius-outpace-tallinn-in-flights-due-to-market-size,Riga and Vilnius outpace Tallinn in flights due to market size
https://news.err.ee/1610117140/french-triathlete-wins-tallinn-ironman-estonian-10th-in-record-field,"French triathlete wins Tallinn Ironman, Estonian 10th in record field"
https://news.err.ee/1610117566/tallinn-fringe-festival-at-10-how-do-you-fringe,Tallinn Fringe Festival at 10: How do you Fringe?
https://news.err.ee/1610117152/minister-russia-s-behavior-unchanged-since-molotov-ribbentrop-pact-87-years-on,"Minister: Russia's behavior unchanged since Molotov-Ribbentrop Pact, 87 years on"
https://news.err.ee/1610117785/ironman-volunteers-praised-for-weathering-storm-to-support-7-500-athletes,"Ironman volunteers praised for weathering storm to support 7,500 athletes"
