url,headline
https://news.err.ee/1610077090/a-call-for-freedom-and-independence-baltic-way-memorial-unveiled-in-paris,'A call for freedom and independence:' Baltic Way memorial unveiled in Paris
https://news.err.ee/1610077084/plastic-wrapped-cucumbers-to-disappear-from-estonia-s-stores,Plastic-wrapped cucumbers to disappear from Estonia's stores
https://news.err.ee/1610077024/medieval-ship-found-in-tallinn-traced-to-lithuanian-builders,Medieval ship found in Tallinn traced to Lithuanian builders
https://news.err.ee/1610076910/russia-holds-live-fire-exercise-on-lake-peipus-without-informing-estonia,Russia holds live-fire exercise on Lake Peipus without informing Estonia
https://news.err.ee/1610077015/just-1-in-3-conscripts-accepted-as-armed-forces-take-gap-year,Just 1 in 3 conscripts accepted as armed forces take 'gap year'
https://news.err.ee/1610077006/foragers-turn-to-social-media-leaving-stores-without-local-blueberries,"Foragers turn to social media, leaving stores without local blueberries"
https://news.err.ee/1610076973/elron-raises-ticket-prices-for-services-within-tallinn-from-august,Elron raises ticket prices for services within Tallinn from August
https://news.err.ee/1610076940/deputy-mayor-suggests-lifting-heritage-traffic-rules-to-boost-tallinn-s-old-town,"Deputy mayor suggests lifting heritage, traffic rules to boost Tallinn's Old Town"
https://news.err.ee/1610076547/gallery-estonian-uk-service-dogs-hold-training-exercise-to-improve-cooperation,"Gallery: Estonian, UK service dogs hold training exercise to improve cooperation"
https://news.err.ee/1610076538/health-experts-urge-voluntary-nutri-score-labels-as-industry-groups-push-back,Health experts urge voluntary Nutri‑Score labels as industry groups push back
https://news.err.ee/1610076172/estonia-introduces-new-salary-transparency-requirements,Estonia introduces new salary transparency requirements
https://news.err.ee/1610076910/russia-holds-live-fire-exercise-on-lake-peipus-without-informing-estonia,Russia holds live-fire exercise on Lake Peipus without informing Estonia
https://news.err.ee/1610076253/ukraine-war-drives-nonmilitary-women-to-join-defense-organization-in-estonia,Ukraine war drives nonmilitary women to join defense organization in Estonia
https://news.err.ee/1610076331/tv-thriller-series-being-shot-in-ukraine-and-estonia,TV thriller series being shot in Ukraine and Estonia
https://news.err.ee/1610076310/former-edf-officer-convicted-of-treason-may-be-released-on-parole,Former EDF officer convicted of treason may be released on parole
https://news.err.ee/1610076274/then-and-now-tallinn-seeks-photographs-for-restoration-of-independence-exhibition,Then and now: Tallinn seeks photographs for restoration of independence exhibition
https://news.err.ee/1610075713/airport-tramline-on-schedule-to-reopen-on-august-1-after-test-run,Airport tramline on schedule to reopen on August 1 after test run
https://news.err.ee/1610076463/tartu-wrapping-school-shelter-windows-in-plastic-to-protect-against-attacks,Tartu wrapping school shelter windows in plastic to protect against attacks
https://news.err.ee/1610076214/store-chain-restricts-drain-cleaner-sales-to-minors,Store chain restricts drain cleaner sales to minors
https://news.err.ee/1610076340/a-fatal-crash-in-laane-viru-county-18-year-old-unlicensed-driver-tried-to-flee,A fatal crash in Lääne‑Viru County: 18‑year‑old unlicensed driver tried to flee
