url,headline
https://news.err.ee/1610081770/several-estonians-on-global-crews-behind-world-cup-ceremony-broadcasts,Several Estonians on global crews behind World Cup ceremony broadcasts
https://news.err.ee/1610082103/hungary-s-otp-bank-to-buy-luminor,Hungary's OTP Bank to buy Luminor
https://news.err.ee/1610081716/university-students-start-inventorying-estonia-s-soviet-monumental-art,University students start inventorying Estonia's Soviet monumental art
https://news.err.ee/1610081722/parnu-music-festival-draws-nearly-35-000-in-person-and-online,"Pärnu Music Festival draws nearly 35,000 in person and online"
https://news.err.ee/1610081725/kaupo-meiel-the-winners-and-losers-of-this-summer-at-halftime,Kaupo Meiel: The winners and losers of this summer at halftime
https://news.err.ee/1610081659/prosecutor-s-office-stretches-deadline-in-high-stakes-isamaa-case,Prosecutor's Office stretches deadline in high‑stakes Isamaa case
https://news.err.ee/1610081626/more-foreign-and-complex-cases-drive-tallinn-push-to-revamp-vital-statistics-funding,More foreign and complex cases drive Tallinn push to revamp vital statistics funding
https://news.err.ee/1610081596/veteran-diplomat-nato-s-deterrence-is-meant-to-work-primarily-in-putin-s-mind,Veteran diplomat: NATO's deterrence is meant to work primarily in Putin's mind
https://news.err.ee/1610081680/minister-closure-of-estonia-s-border-with-russia-depends-on-threat-assessment,Minister: Closure of Estonia's border with Russia depends on threat assessment
https://news.err.ee/1610081611/justice-ministry-cracks-down-on-minors-access-to-tobacco-products,Justice ministry cracks down on minors' access to tobacco products
https://news.err.ee/1610080570/russia-bans-all-commercial-freight-transport-by-estonia-registered-trucks,Russia bans all commercial freight transport by Estonia-registered trucks
https://news.err.ee/1610081680/minister-closure-of-estonia-s-border-with-russia-depends-on-threat-assessment,Minister: Closure of Estonia's border with Russia depends on threat assessment
https://news.err.ee/1610081407/ospreys-return-to-western-estonia-as-rivers-recover,Ospreys return to Western Estonia as rivers recover
https://news.err.ee/1610080546/russia-protests-removal-of-valga-county-soviet-war-memorial,Russia protests removal of Valga County Soviet war memorial
https://news.err.ee/1610080909/four-treated-for-carbon-monoxide-poisoning-after-visiting-tallinn-spa,Four treated for carbon monoxide poisoning after visiting Tallinn spa
https://news.err.ee/1610081377/drone-defense-system-on-estonia-s-eastern-border-still-in-early-development,Drone‑defense system on Estonia's eastern border still in early development
https://news.err.ee/1610080936/35th-anniversary-of-restoration-of-estonian-independence-to-see-extensive-events,35th anniversary of restoration of Estonian independence to see extensive events
https://news.err.ee/1610080954/tallinn-deputy-mayor-suggests-old-town-property-sell-offs-amid-vacancies,Tallinn deputy mayor suggests Old Town property sell-offs amid vacancies
https://news.err.ee/1610081422/tallinn-plans-elaborate-winter-decorations-across-city-districts,Tallinn plans elaborate winter decorations across city districts
https://news.err.ee/1610081509/tallinn-takes-movies-outdoors-with-summer-screenings-across-the-city,Tallinn takes movies outdoors with summer screenings across the city
