url,headline
https://news.err.ee/1610109124/accommodations-up-4-year-over-year-as-tourism-bounces-back-to-pre-crisis-level,Accommodations up 4% year-over-year as tourism bounces back to pre-crisis level
https://news.err.ee/1610109211/estonia-extends-overnight-russia-border-closures-indefinitely,Estonia extends overnight Russia border closures indefinitely
https://news.err.ee/1610108479/new-studies-show-childhood-habits-long-term-health-impact,New studies show childhood habits' long-term health impact
https://news.err.ee/1610109076/audit-261-million-in-public-estonian-funds-sat-awaiting-investment,Audit: €261 million in public Estonian funds sat awaiting investment
https://news.err.ee/1610109091/mp-proposes-endorsing-tiit-land-to-riigikogu-independents,MP proposes endorsing Tiit Land to Riigikogu independents
https://news.err.ee/1610109067/justice-minister-rejects-uk-s-plan-of-sending-its-prisoners-to-estonia,Justice minister rejects UK's plan of sending its prisoners to Estonia
https://news.err.ee/1610109109/eneli-jefimova-just-outside-100m-breaststroke-european-champs-medals,Eneli Jefimova just outside 100m breaststroke European champs medals
https://news.err.ee/1610109094/estonian-athletes-see-mixed-results-at-european-championships-wednesday,Estonian athletes see mixed results at European Championships Wednesday
https://news.err.ee/1610109073/baltics-first-ai-factory-to-open-in-estonia,Baltics' first AI factory to open in Estonia
https://news.err.ee/1610109013/estonia-preparing-to-pass-the-country-s-first-space-law,Estonia preparing to pass the country's first space law
https://news.err.ee/1610087443/estonia-to-see-partial-solar-eclipse-on-august-12,Estonia to see partial solar eclipse on August 12
https://news.err.ee/1610106670/the-perseid-meteor-shower-reaches-its-peak-this-week,The Perseid meteor shower reaches its peak this week
https://news.err.ee/1610106649/estonian-rally-driver-hit-with-ban-after-finland-police-booking,Estonian rally driver hit with ban after Finland police booking
https://news.err.ee/1610108263/post-ww2-baby-boom-did-not-happen-in-estonia-due-to-repressions,Post-WW2 baby boom did not happen in Estonia due to repressions
https://news.err.ee/1610108179/andrus-kaarelson-if-we-do-not-act-fast-investments-will-go-to-latvia,Andrus Kaarelson: If we do not act fast investments will go to Latvia
https://news.err.ee/1610107630/62-year-old-traffic-controller-hit-and-killed-by-car-at-tallinn-pedestrian-crosswalk,62-year-old traffic controller hit and killed by car at Tallinn pedestrian crosswalk
https://news.err.ee/1610109073/baltics-first-ai-factory-to-open-in-estonia,Baltics' first AI factory to open in Estonia
https://news.err.ee/1610108284/tallinn-s-trolleybus-service-to-reach-lasnamae-in-3-years,Tallinn's trolleybus service to reach Lasnamäe in 3 years
https://news.err.ee/1610108425/55-signatures-and-counting-for-ulle-madise-s-presidential-bid-parties-meet-with-land-madise,"55 signatures and counting for Ülle Madise's presidential bid; parties meet with Land, Madise"
https://news.err.ee/1610108248/fatboy-slim-will-perform-in-estonia-for-the-first-time-in-november,Fatboy Slim will perform in Estonia for the first time in November
