url,headline
https://news.err.ee/1610086840/katri-raik-ousted-as-mayor-of-narva-following-no-confidence-vote,Katri Raik ousted as Mayor of Narva following no-confidence vote
https://news.err.ee/1610086798/kihnu-vormsi-ferries-go-on-strike-over-pay-conditions,"Kihnu, Vormsi ferries go on strike over pay conditions"
https://news.err.ee/1610086780/hundreds-mark-battle-of-tannenberg-line-82nd-anniversary-in-estonia,Hundreds mark Battle of Tannenberg Line 82nd anniversary in Estonia
https://news.err.ee/1610086777/skeptics-doubt-funding-for-narva-old-town-rebuild,Skeptics doubt funding for Narva Old Town rebuild
https://news.err.ee/1610086417/bear-cubs-frolic-in-estonian-farmyard-right-in-front-of-people,"Bear cubs frolic in Estonian farmyard, right in front of people"
https://news.err.ee/1610086753/gallery-9-000-enjoy-second-day-of-viljandi-folk-music-festival,"Gallery: 9,000 enjoy second day of Viljandi Folk Music Festival"
https://news.err.ee/1610086741/border-authorities-apprehend-illegal-migrants-in-estonia-for-4th-day-in-a-row,Border authorities apprehend illegal migrants in Estonia for 4th day in a row
https://news.err.ee/1610086414/ministry-of-defense-opposed-to-restoring-special-pensions-for-edf-personnel,Ministry of Defense opposed to restoring special pensions for EDF personnel
https://news.err.ee/1610086393/gallery-british-artist-s-debut-estonian-exhibition-opens-at-erm,Gallery: British artist's debut Estonian exhibition opens at ERM
https://news.err.ee/1610086363/tallinn-looking-for-developer-for-20-million-olympic-sized-pool-project,Tallinn looking for developer for €20 million Olympic-sized pool project
https://news.err.ee/1610085877/tallinn-airport-downplays-impact-if-airbaltic-cuts-routes,Tallinn Airport downplays impact if airBaltic cuts routes
https://news.err.ee/1610085589/russia-orders-yandex-maps-to-blur-military-and-strategic-sites-near-estonia-s-border,Russia orders Yandex Maps to blur military and strategic sites near Estonia's border
https://news.err.ee/1610086270/large-number-of-elron-trains-sitting-idle-at-tapa-station,Large number of Elron trains sitting idle at Tapa station
https://news.err.ee/1610084398/critics-claim-anti-russian-messaging-in-estonian-meat-advertisement,Critics claim anti-Russian messaging in Estonian meat advertisement
https://news.err.ee/1610085871/estonian-citizen-in-us-pleads-guilty-to-procuring-electronics-for-russia,Estonian citizen in US pleads guilty to procuring electronics for Russia
https://news.err.ee/1610086363/tallinn-looking-for-developer-for-20-million-olympic-sized-pool-project,Tallinn looking for developer for €20 million Olympic-sized pool project
https://news.err.ee/1610086249/estonia-and-other-baltic-states-ukraine-slam-ioc-decision-on-russian-athletes,"Estonia and other Baltic states, Ukraine slam IOC decision on Russian athletes"
https://news.err.ee/1610086741/border-authorities-apprehend-illegal-migrants-in-estonia-for-4th-day-in-a-row,Border authorities apprehend illegal migrants in Estonia for 4th day in a row
https://news.err.ee/1610086417/bear-cubs-frolic-in-estonian-farmyard-right-in-front-of-people,"Bear cubs frolic in Estonian farmyard, right in front of people"
https://news.err.ee/1610085619/construction-of-2-2-section-of-tallinn-tartu-highway-begins-in-autumn,Construction of 2+2 section of Tallinn-Tartu highway begins in autumn
