url,headline
https://news.err.ee/1610107477/allan-eichenbaum-let-s-learn-universal-health-insurance-from-the-best,Allan Eichenbaum: Let's learn universal health insurance from the best
https://news.err.ee/1610107597/riigikogu-speaker-ulle-madise-is-ready-to-run-for-president,Riigikogu Speaker: Ülle Madise is ready to run for president
https://news.err.ee/1610107699/three-buses-catch-fire-at-old-bus-depot-in-kohtla-jarve,Three buses catch fire at old bus depot in Kohtla‑Järve
https://news.err.ee/1610107378/gallery-joint-tartu-show-centers-memory-and-change-in-vanishing-cities,Gallery: Joint Tartu show centers memory and change in 'Vanishing Cities'
https://news.err.ee/1610107633/tallinn-offers-defense-league-part-of-linnahall-for-indoor-shooting-range,Tallinn offers Defense League part of Linnahall for indoor shooting range
https://news.err.ee/1610107357/regional-minister-after-4-8-million-from-reserve-to-keep-public-transport-afloat,Regional minister after €4.8 million from reserve to keep public transport afloat
https://news.err.ee/1610107636/two-months-of-roadworks-in-store-for-tallinn-s-liivalaia-tanav,Two months of roadworks in store for Tallinn's Liivalaia tänav
https://news.err.ee/1610107348/robot-mower-sales-surge-in-wake-of-wider-selection-and-lower-prices,Robot mower sales surge in wake of wider selection and lower prices
https://news.err.ee/1610107630/pedestrian-knocked-down-and-killed-at-temporary-crossing-in-tallinn,Pedestrian knocked down and killed at temporary crossing in Tallinn
https://news.err.ee/1610107321/voru-museum-explores-city-history-through-eyes-of-its-notable-figures,Võru Museum explores city history through eyes of its notable figures
https://news.err.ee/1610106649/estonian-rally-driver-hit-with-ban-after-finland-police-booking,Estonian rally driver hit with ban after Finland police booking
https://news.err.ee/1610106565/nissan-skyline-gt-r-hits-416-kph-for-a-new-estonian-record-at-the-one-mile-challenge,Nissan Skyline GT-R hits 416 kph for a new Estonian record at the One Mile Challenge
https://news.err.ee/1610106358/estonia-axes-unemployment-benefit-for-young-people-finishing-conscription,Estonia axes unemployment benefit for young people finishing conscription
https://news.err.ee/1610106499/estonian-seal-watching-tour-attracts-the-animals-with-classical-music,Estonian seal-watching tour attracts the animals with classical music
https://news.err.ee/1610106832/southeastern-estonian-lighthouse-draws-visitors-with-close-up-russia-views,Southeastern Estonian lighthouse draws visitors with close-up Russia views
https://news.err.ee/1610107252/people-from-224-different-ethnic-nationalities-living-in-estonia,People from 224 different ethnic nationalities living in Estonia
https://news.err.ee/1610106376/estonia-s-ruling-coalition-loses-majority-after-2-mps-quit-parties,Estonia's ruling coalition loses majority after 2 MPs quit parties
https://news.err.ee/1610107225/estonians-donations-to-ukraine-have-dried-up,Estonians' donations to Ukraine have dried up
https://news.err.ee/1610087443/estonia-to-see-partial-solar-eclipse-on-august-12,Estonia to see partial solar eclipse on August 12
https://news.err.ee/1610106388/tartu-old-town-bar-owners-concerned-about-residential-development,Tartu Old Town bar owners concerned about residential development
