url,headline
https://news.err.ee/1610099674/turnover-volume-of-grocery-stores-up-in-june-after-long-decline,Turnover volume of grocery stores up in June after long decline
https://news.err.ee/1610099665/entomologist-says-horseflies-are-having-a-good-year-in-estonia,Entomologist says horseflies are having a good year in Estonia
https://news.err.ee/1610099632/major-estonian-developers-report-losses-amid-slow-market-recovery,Major Estonian developers report losses amid slow market recovery
https://news.err.ee/1610099752/rampaging-swedish-football-fans-vandalize-tallinn-s-lillekula-stadium,Rampaging Swedish football fans vandalize Tallinn's Lilleküla Stadium
https://news.err.ee/1610099593/riigikogu-council-of-elders-to-discuss-presidential-election-in-early-august,Riigikogu Council of Elders to discuss presidential election in early August
https://news.err.ee/1610099680/flora-go-through-in-uefa-conference-league-levadia-out,"Flora go through in UEFA Conference League, Levadia out"
https://news.err.ee/1610098867/linda-lees-and-robert-pappel-passing-an-effective-climate-act-cannot-wait,Linda Lees and Robert Pappel: Passing an effective Climate Act cannot wait
https://news.err.ee/1610098882/rannarootsi-ad-stirs-controversy-but-sales-remain-unchanged-so-far,"Rannarootsi ad stirs controversy, but sales remain unchanged so far"
https://news.err.ee/1610099629/flash-estimate-july-s-inflation-was-0-5,Flash estimate: July's inflation was 0.5%
https://news.err.ee/1610098759/estonian-composer-ingmar-kiviloo-graduating-from-boston-to-toronto,Estonian composer Ingmar Kiviloo graduating from Boston to Toronto
https://news.err.ee/1610098843/major-police-operation-in-tallinn-targets-illegal-migrants,Major police operation in Tallinn targets illegal migrants
https://news.err.ee/1610098774/turkish-airlines-entry-into-russian-airspace-was-a-one-off-weather-related-decision,Turkish Airlines: Entry into Russian airspace was a one‑off weather-related decision
https://news.err.ee/1610088106/tallinn-s-nevsky-cathedral-may-be-sold-demolished-or-made-into-a-museum,"Tallinn's Nevsky Cathedral may be sold, demolished or made into a museum"
https://news.err.ee/1610098621/report-says-estonia-s-working-life-could-stretch-to-45-years-as-lifespans-rise,Report says Estonia's working life could stretch to 45 years as lifespans rise
https://news.err.ee/1610098543/powerful-el-ni-o-s-ripple-effects-could-eventually-reach-estonia,Powerful El Niño's ripple effects could eventually reach Estonia
https://news.err.ee/1610098597/police-find-3-000-in-cash-in-pockets-of-suspected-money-mule,"Police find €3,000 in cash in pockets of suspected money mule"
https://news.err.ee/1610098393/63-migrants-from-belarus-caught-in-estonia-last-week-and-more-expected-ppa-says,"63 migrants from Belarus caught in Estonia last week and more expected, PPA says"
https://news.err.ee/1610099506/estonia-still-waiting-for-latvia-s-official-position-on-rail-baltica-s-future,Estonia still waiting for Latvia's official position on Rail Baltica's future
https://news.err.ee/1610098771/tram-to-tallinn-airport-reopens-in-august,Tram to Tallinn Airport reopens in August
https://news.err.ee/1610088877/estonia-s-first-remotely-operated-taxi-crash-raises-accountability-questions,Estonia's first remotely operated taxi crash raises accountability questions
