url,headline
https://news.err.ee/1610104138/rescue-board-official-i-would-not-let-children-go-to-sea-on-a-sup-board,Rescue Board official: I would not let children go to sea on a SUP board
https://news.err.ee/1610104162/birk-rohelend-history-does-not-fit-into-a-single-simplified-narrative,Birk Rohelend: History does not fit into a single simplified narrative
https://news.err.ee/1610103892/lihtsad-uudised-7-augustil,Lihtsad uudised 7. augustil
https://news.err.ee/1610104759/four-estonians-officiated-at-uefa-s-thursday-matches,Four Estonians officiated at UEFA's Thursday matches
https://news.err.ee/1610104696/authorities-issue-permit-to-hunt-two-bears-that-entered-home-yards,Authorities issue permit to hunt two bears that entered home yards
https://news.err.ee/1610104126/rait-kallus-is-estonia-planning-future-traffic-based-on-the-past,Rait Kallus: Is Estonia planning future traffic based on the past?
https://news.err.ee/1610104624/mia-mireia-uusorg-takes-u20-world-athletics-championships-silver,Mia Mireia Uusorg takes U20 World Athletics Championships silver
https://news.err.ee/1610103871/entomologist-several-new-insect-species-reach-estonia-annually,Entomologist: several new insect species reach Estonia annually
https://news.err.ee/1610104594/estonian-police-and-iss-say-most-health-data-queries-are-lawful,Estonian police and ISS say most health data queries are lawful
https://news.err.ee/1610103862/katarina-papp-donating-food-should-become-standard-practice,Katarina Papp: Donating food should become standard practice
https://news.err.ee/1610104081/airbaltic-cancels-tallinn-london-gatwick-flights-for-winter-season,airBaltic cancels Tallinn–London Gatwick flights for winter season
https://news.err.ee/1610104141/tallinn-s-new-route-network-results-in-technical-glitches-and-confusion-at-stops,Tallinn's new route network results in technical glitches and confusion at stops
https://news.err.ee/1610103961/hundreds-of-passenger-and-luxury-cars-registered-as-vans-in-estonia,Hundreds of passenger and luxury cars registered as vans in Estonia
https://news.err.ee/1610103268/estonia-returns-first-illegal-migrants-to-latvia,Estonia returns first illegal migrants to Latvia
https://news.err.ee/1610103868/study-estonia-s-unique-trilingual-emergency-alerts-are-speeding-up,Study: Estonia's unique trilingual emergency alerts are speeding up
https://news.err.ee/1610104541/air-force-finnish-airspace-closures-do-not-affect-estonia,Air force: Finnish airspace closures do not affect Estonia
https://news.err.ee/1610048104/tallinn-hospital-board-member-gynecologist-fired-due-to-loss-of-trust,Tallinn hospital board member: Gynecologist fired due to 'loss of trust'
https://news.err.ee/1610103706/experts-coming-winter-to-bring-sharp-electricity-price-hikes,Experts: Coming winter to bring sharp electricity price hikes
https://news.err.ee/1610102323/tallinn-to-rebuild-popular-old-town-street-starting-next-week,Tallinn to rebuild popular Old Town street starting next week
https://news.err.ee/1610103844/inventor-of-the-snail-trap-nine-3d-printers-in-the-garage-make-the-trap-houses,Inventor of the snail trap: nine 3D printers in the garage make the trap houses
