url,headline,scrape_date,scrape_datetime
https://eng.lsm.lv/article/economy/economy/10.07.2026-wind-turbine-loses-blade-during-test-run-in-latvia.a654599/,Wind turbine loses blade during test run in Latvia,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/economy/economy/09.07.2026-latvias-macroeconomic-forecasts-revised-by-finance-ministry.a654477/,Latvia's macroeconomic forecasts revised by Finance Ministry,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/economy/transport/09.07.2026-central-riga-street-sections-to-be-closed-until-end-of-july.a654468/,Central Rīga street sections to be closed until end of July,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/economy/transport/09.07.2026-railway-platform-modernization-project-has-big-problems.a654452/,Railway platform modernization project has big problems,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/features/news-in-simple-latvian/11.07.2026-news-in-simple-latvian-10th-july-2026.a654709/,"News in simple Latvian: 10th July, 2026",2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/features/news-in-simple-latvian/10.07.2026-news-in-simple-latvian-9th-july-2026.a654585/,"News in simple Latvian: 9th July, 2026",2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/features/news-in-simple-latvian/08.07.2026-news-in-simple-latvian-8th-july-2026.a654411/,"News in simple Latvian: 8th July, 2026",2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/features/video/08.07.2026-edward-lucas-there-are-europeans-who-are-willing-to-fight-and-europeans-who-are-not-willing-to-fight.a654287/,"Edward Lucas: 'There are Europeans who are willing to fight, and Europeans who are not willing to fight'",2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/features/news-in-simple-latvian/08.07.2026-news-in-simple-latvian-7th-july-2026.a654257/,"News in simple Latvian: 7th July, 2026",2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/weather/weather/10.07.2026-dry-and-hot-weather-to-begin-in-latvia-sunday.a654590/,Dry and hot weather to begin in Latvia Sunday,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/weather/weather/08.07.2026-rain-warning-across-latvia-wednesday.a654258/,Rain warning across Latvia Wednesday,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/weather/weather/06.07.2026-weather-will-improve-over-weekend-in-latvia.a653965/,Weather will improve over weekend in Latvia,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/weather/weather/06.07.2026-downpours-still-expected-monday-in-latvia.a653949/,Downpours still expected Monday in Latvia,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/weather/weather/03.07.2026-weekend-weather-will-be-rather-gloomy-in-latvia.a653724/,Weekend weather will be rather gloomy in Latvia,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/weather/weather/03.07.2026-rain-throughout-latvia-on-friday.a653684/,Rain throughout Latvia on Friday,2026-07-12,2026-07-12_21.45.45
https://eng.lsm.lv/article/weather/weather/30.06.2026-heatwave-abates-in-latvia-on-tuesday-though-yellow-warning-remains.a653217/,"Heatwave abates in Latvia on Tuesday, though yellow warning remains",2026-07-12,2026-07-12_21.45.45
