url,headline,scrape_date,scrape_datetime
https://news.err.ee/1610079166/ida-viru-county-water-sports-center-aspires-to-host-international-competitions,Ida-Viru County water sports center aspires to host international competitions,2026-07-16,2026-07-16_15.30.27
https://news.err.ee/1610079187/rally-estonia-returns-with-53-crews-set-for-wrc-action-in-south-estonia,Rally Estonia returns with 53 crews set for WRC action in South Estonia,2026-07-16,2026-07-16_15.30.27
https://news.err.ee/1609996795/scottish-punk-legends-the-exploited-giving-outdoor-gig-in-tallinn,Scottish punk legends The Exploited giving outdoor gig in Tallinn,2026-07-16,2026-07-16_15.30.27
https://news.err.ee/1610078782/gallery-exhibition-5miinust-10-years-opens-at-estonian-national-museum,Gallery: Exhibition '5MIINUST 10 Years' opens at Estonian National Museum,2026-07-17,2026-07-17_06.13.08
https://news.err.ee/1610079643/swedbank-s-half-year-profits-total-122-million,Swedbank's half-year profits total €122 million,2026-07-17,2026-07-17_06.13.08
https://news.err.ee/1610078818/summer-opera-performances-come-to-tallinn-s-town-hall-for-3-weeks,Summer opera performances come to Tallinn's Town Hall for 3 weeks,2026-07-17,2026-07-17_06.13.08
https://news.err.ee/1610079607/uk-to-deploy-more-soldiers-and-preposition-ammunition-in-estonia,UK to deploy more soldiers and preposition ammunition in Estonia,2026-07-17,2026-07-17_06.13.08
https://news.err.ee/1610079757/aivar-kokk-the-biggest-impact-on-the-budget-comes-from-cutting-white-collar-ranks,Aivar Kokk: The biggest impact on the budget comes from cutting white‑collar ranks,2026-07-17,2026-07-17_09.54.18
https://news.err.ee/1610078191/lihtsad-uudised-17-juulil,Lihtsad uudised 17. juulil,2026-07-17,2026-07-17_09.54.18
https://news.err.ee/1610079727/estonia-s-bear-population-continues-to-grow,Estonia's bear population continues to grow,2026-07-17,2026-07-17_09.54.18
https://news.err.ee/1610079703/french-investor-puts-1-million-into-laane-viru-county-wood-plant,French investor puts €1 million into Lääne-Viru County wood plant,2026-07-17,2026-07-17_09.54.18
https://news.err.ee/1610079697/police-not-opening-corruption-investigation-at-estonian-national-opera,Police not opening corruption investigation at Estonian National Opera,2026-07-17,2026-07-17_09.54.18
https://news.err.ee/1610079682/outgoing-envoy-to-us-americans-view-estonia-positively,Outgoing envoy to US: Americans view Estonia positively,2026-07-17,2026-07-17_09.54.18
https://news.err.ee/1610079790/nolan-s-the-odyssey-won-t-be-shown-in-imax-format-in-estonia,Nolan's 'The Odyssey' won't be shown in IMAX format in Estonia,2026-07-17,2026-07-17_11.19.38
https://news.err.ee/1610079931/russia-s-fuel-shortages-could-lead-to-more-repressions-says-estonian-intel,"Russia's fuel shortages could lead to more repressions, says Estonian intel",2026-07-17,2026-07-17_11.19.38
https://news.err.ee/1610079793/pedestrian-dies-after-being-hit-by-a-vehicle-in-tallinn-s-mustamae,Pedestrian dies after being hit by a vehicle in Tallinn's Mustamäe,2026-07-17,2026-07-17_11.19.38
https://news.err.ee/1610079880/hiiumaa-hospital-stops-planned-maternity-care-amid-pediatrician-shortage,Hiiumaa Hospital stops planned maternity care amid pediatrician shortage,2026-07-17,2026-07-17_13.20.08
https://news.err.ee/1610079820/estonia-s-peak-tourism-season-arrives-earlier-than-rest-of-europe,Estonia's peak tourism season arrives earlier than rest of Europe,2026-07-17,2026-07-17_13.20.08
https://news.err.ee/1610079829/mihhail-kolvart-estonia-s-finances-cannot-be-fixed-at-the-expense-of-the-economy,Mihhail Kõlvart: Estonia's finances cannot be fixed at the expense of the economy,2026-07-17,2026-07-17_13.20.08
https://news.err.ee/1610079991/estonian-finnish-drama-series-receives-funding-from-council-of-europe,Estonian-Finnish drama series receives funding from Council of Europe,2026-07-17,2026-07-17_15.11.07
https://news.err.ee/1610079964/weatherman-extreme-weather-puts-forecasting-models-to-the-test,Weatherman: Extreme weather puts forecasting models to the test,2026-07-17,2026-07-17_15.11.07
https://news.err.ee/1610080474/mp-minister-s-iss-visit-an-overstep-of-powers,MP: Minister's ISS visit an overstep of powers,2026-07-18,2026-07-18_09.20.49
