url,headline,scrape_date,scrape_datetime
https://www.lrt.lt/en/news-in-english/19/2986074/lithuanian-suspected-of-running-illegal-cigarette-factories-in-spain-dozens-arrested,"Lithuanian suspected of running illegal cigarette factories in Spain, dozens arrested",2026-07-12,2026-07-12_21.54.07
https://www.lrt.lt/en/news-in-english/19/2985363/lrt-english-newsletter-government-pledges-and-nato-improvs,LRT English Newsletter: Government pledges and NATO improvs,2026-07-12,2026-07-12_21.54.07
https://www.lrt.lt/en/news-in-english/19/2985177/lithuania-s-fm-assures-belarus-policy-remains-unchanged-despite-programme-wording,Lithuaniaâs FM assures Belarus policy remains unchanged despite programme wording,2026-07-12,2026-07-12_21.54.07
https://www.lrt.lt/en/news-in-english/19/2985223/ec-warns-lithuania-over-failure-to-adopt-money-laundering-rules,EC warns Lithuania over failure to adopt money laundering rules,2026-07-12,2026-07-12_21.54.07
https://www.lrt.lt/en/news-in-english/19/2985199/lithuania-triples-funding-for-anti-smuggling-balloon-technology,Lithuania triples funding for anti-smuggling balloon technology,2026-07-12,2026-07-12_21.54.07
https://www.lrt.lt/en/news-in-english/19/2984327/filming-drones-burning-jeeps-in-lithuania-behind-russia-s-sabotage-network,"Filming drones, burning jeeps in Lithuania. Behind Russiaâs sabotage network",2026-07-12,2026-07-12_21.54.07
https://www.lrt.lt/en/news-in-english/19/2983272/lithuania-wants-to-normalise-ties-with-china-does-that-mean-divorcing-taiwan,Lithuania wants to normalise ties with China. Does that mean divorcing Taiwan?,2026-07-12,2026-07-12_21.54.07
https://www.lrt.lt/en/news-in-english/19/2989137/baltic-states-reject-russian-claims-over-airspace-in-joint-diplomatic-protest,Baltic states reject Russian claims over airspace in joint diplomatic protest,2026-07-13,2026-07-13_10.56.58
https://www.lrt.lt/en/news-in-english/19/2989123/lithuania-hopes-eu-agrees-on-new-russia-sanctions-package-by-end-of-july,Lithuania hopes EU agrees on new Russia sanctions package by end of July,2026-07-13,2026-07-13_10.56.58
https://www.lrt.lt/en/news-in-english/19/2989119/german-air-force-to-bring-lithuanian-rescue-team-home-from-venezuela,German air force to bring Lithuanian rescue team home from Venezuela,2026-07-13,2026-07-13_10.56.58
https://www.lrt.lt/en/news-in-english/19/2989093/lithuania-sends-more-guards-to-latvia-as-minister-raises-prospect-of-border-checks,Lithuania sends more guards to Latvia as minister raises prospect of border checks,2026-07-13,2026-07-13_10.56.58
https://www.lrt.lt/en/news-in-english/19/2989052/no-berries-this-year-rainy-weather-devastates-lithuanian-farms,No berries this year? Rainy weather devastates Lithuanian farms,2026-07-13,2026-07-13_10.56.58
https://www.lrt.lt/en/news-in-english/19/2986506/lithuania-s-jewish-community-says-attack-on-visiting-rabbis-was-rare-but-alarming,Lithuaniaâs Jewish community says attack on visiting rabbis was rare but alarming,2026-07-13,2026-07-13_10.56.58
https://www.lrt.lt/en/news-in-english/19/2989040/lithuanian-troops-begin-dragoon-fury-26-tactical-drills,Lithuanian troops begin Dragoon Fury 26 tactical drills,2026-07-13,2026-07-13_10.56.58
https://www.lrt.lt/en/news-in-english/19/2985427/vilnius-crash-deaths-reignite-debate-over-street-racing-and-road-safety-in-lithuania,Vilnius crash deaths reignite debate over street racing and road safety in Lithuania,2026-07-13,2026-07-13_10.56.58
